Committee,Comité,Total
Agriculture & Rural Affairs Committee,Comité de l’agriculture et des affaires rurales," 8,715 "
Community Services Committee,Comité des services communautaires," 159,555 "
Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence," 17,918 "
Environment and Climate Change Committee - Rate,Comité de l’environnement et de la protection climatique - services financés par les redevances," 361,542 "
Environment and Climate Change Committee - Tax,Comité de l’environnement et de la protection climatique - services financés par les taxes," 47,991 "
Finance and Corporate Services Committee,Comité des finances et des services organisationnels," 33,525 "
Ottawa Police Services Board,Commission de services policiers d’Ottawa," 34,209 "
Ottawa Public Library Board,C.A. de la Bibliothèque publique d’Ottawa," 9,105 "
Planning and Housing Committee,Comité de la planification et du logement," 30,425 "
Transit Commission,Commission du transport en commun," 501,843 "
Transportation Committee,Comité des transports," 480,164 "
