Committee,Comité
Agriculture and Rural Affairs Committee,Comité de l'agriculture et des affaires rurales
Audit Committee,Comité de la vérification
Boards and Agencies,Conseils et institutions
Community Services Committee,Comité des services communautaires
Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence
Finance and Corporate Services Committee,Comité des finances et des services organisationnels
Planning and Housing Committee,Comité de la planification et du logement
Transportation Committee,Comité des transports
Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes)
Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances)
Transit Commission,Commission du transport en commun
